ticker,name,country,industry,sector,has_news,ipo_date,exchange
A,"Agilent Technologies, Inc.",USA,"Medical Laboratories & Research",Healthcare,yes,1999-11-18,NYSE
AA,"Alcoa Corporation",USA,Aluminum,"Basic Materials",yes,1962-01-02,NYSE
AABA,"Altaba Inc.",USA,"Asset Management",Financial,yes,1996-04-12,
AAC,"AAC Holdings, Inc.",USA,"Specialized Health Services",Healthcare,yes,2014-10-02,
AADR,"AdvisorShares Dorsey Wright ADR ETF",USA,"Exchange Traded Fund",Financial,yes,2010-07-21,NYSE
AAL,"American Airlines Group Inc.",USA,"Major Airlines",Services,yes,2005-09-27,NASDAQ
AAMC,"Altisource Asset Management Corporation",USA,"Asset Management",Financial,yes,2012-12-13,NYSE
AAME,"Atlantic American Corporation",USA,"Life Insurance",Financial,yes,1984-09-07,NASDAQ
AAN,"Aaron's, Inc.",USA,"Rental & Leasing Services",Services,yes,1984-09-07,NYSE
AAOI,"Applied Optoelectronics, Inc.",USA,"Semiconductor - Integrated Circuits",Technology,yes,2013-09-26,NASDAQ
AAON,"AAON, Inc.",USA,"General Building Materials","Industrial Goods",yes,1992-12-16,NASDAQ
AAP,"Advance Auto Parts, Inc.",USA,"Auto Parts Stores",Services,yes,2001-11-29,NYSE
AAPL,"Apple Inc.",USA,"Electronic Equipment","Consumer Goods",yes,1980-12-12,NASDAQ
AAT,"American Assets Trust, Inc.",USA,"REIT - Retail",Financial,yes,2011-01-13,NYSE
AAU,"Almaden Minerals Ltd.",Canada,Gold,"Basic Materials",yes,2005-12-20,NYSE
AAV,"Advantage Oil & Gas Ltd.",Canada,"Oil & Gas Drilling & Exploration","Basic Materials",yes,2004-03-31,
AAWW,"Atlas Air Worldwide Holdings, Inc.",USA,"Air Services, Other",Services,yes,2005-11-09,NASDAQ
AAXJ,"iShares MSCI All Country Asia ex Jpn ETF",USA,"Exchange Traded Fund",Financial,yes,2008-08-15,NASDAQ
AAXN,"Axon Enterprise, Inc.",USA,"Aerospace/Defense Products & Services","Industrial Goods",yes,2017-04-05,NASDAQ
AB,"AllianceBernstein Holding L.P.",USA,"Asset Management",Financial,yes,1988-04-15,NYSE
ABAC,"Renmin Tianli Group, Inc.",China,"Farm Products","Consumer Goods",no,2010-07-20,
ABB,"ABB Ltd",Switzerland,"Diversified Machinery","Industrial Goods",yes,2001-04-06,NYSE
ABBV,"AbbVie Inc.",USA,"Drug Manufacturers - Major",Healthcare,yes,2013-01-02,NYSE
ABC,"AmerisourceBergen Corporation",USA,"Drugs Wholesale",Services,yes,1995-04-04,NYSE
ABCB,"Ameris Bancorp",USA,"Regional - Mid-Atlantic Banks",Financial,yes,1994-05-19,NASDAQ
ABCD,"Cambium Learning Group, Inc.",USA,"Education & Training Services",Services,yes,2009-12-09,
ABDC,"Alcentra Capital Corporation",USA,"Asset Management",Financial,yes,2014-05-09,NASDAQ
ABEO,"Abeona Therapeutics Inc.",USA,Biotechnology,Healthcare,yes,1980-09-19,NASDAQ
ABEV,"Ambev S.A.",Brazil,"Beverages - Brewers","Consumer Goods",yes,1997-03-05,NYSE
ABG,"Asbury Automotive Group, Inc.",USA,"Auto Dealerships",Services,yes,2002-03-21,NYSE
ABIL,"Ability Inc.",Israel,"Communication Equipment",Technology,yes,2014-02-05,NASDAQ
ABIO,"ARCA biopharma, Inc.",USA,Biotechnology,Healthcare,yes,1997-08-08,NASDAQ
ABM,"ABM Industries Incorporated",USA,"Business Services",Services,yes,1984-07-19,NYSE
ABMD,"ABIOMED, Inc.",USA,"Medical Appliances & Equipment",Healthcare,yes,1987-07-30,NASDAQ
ABR,"Arbor Realty Trust, Inc.",USA,"REIT - Diversified",Financial,yes,2004-05-06,NYSE
ABT,"Abbott Laboratories",USA,"Medical Appliances & Equipment",Healthcare,yes,1983-04-06,NYSE
ABTX,"Allegiance Bancshares, Inc.",USA,"Regional - Southwest Banks",Financial,yes,2015-10-08,NASDAQ
ABUS,"Arbutus Biopharma Corporation",Canada,Biotechnology,Healthcare,yes,2007-07-26,NASDAQ
AC,"Associated Capital Group, Inc.",USA,"Asset Management",Financial,yes,2007-12-27,NYSE
ACAD,"ACADIA Pharmaceuticals Inc.",USA,Biotechnology,Healthcare,yes,2004-05-27,NASDAQ
ACBI,"Atlantic Capital Bancshares, Inc.",USA,"Regional - Mid-Atlantic Banks",Financial,yes,2015-11-02,NASDAQ
ACC,"American Campus Communities, Inc.",USA,"REIT - Residential",Financial,yes,2004-08-16,NYSE
ACCO,"ACCO Brands Corporation",USA,"Office Supplies","Consumer Goods",yes,2005-08-17,NYSE
ACER,"Acer Therapeutics Inc.",USA,Biotechnology,Healthcare,yes,2004-04-14,NASDAQ
ACET,"Aceto Corporation",USA,"Chemicals - Major Diversified","Basic Materials",yes,1990-03-26,NASDAQ
ACGBY,"Agricultural Bank of China",China,"Money Center Banks",Financial,yes,2011-01-28,
ACGL,"Arch Capital Group Ltd.",Bermuda,"Property & Casualty Insurance",Financial,yes,1995-09-14,NASDAQ
ACGLO,"Arch Capital Group Ltd.",Bermuda,"Insurance Brokers",Financial,yes,2017-08-07,NASDAQ
ACGLP,"Arch Capital Group Ltd.",Bermuda,"Insurance Brokers",Financial,yes,2016-09-23,NASDAQ
ACH,"Aluminum Corporation of China Limited",China,Aluminum,"Basic Materials",yes,2001-12-11,NYSE
ACHC,"Acadia Healthcare Company, Inc.",USA,"Specialized Health Services",Healthcare,yes,1994-03-04,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",USA,Biotechnology,Healthcare,yes,2006-11-09,NASDAQ
ACHV,"Achieve Life Sciences, Inc.",USA,Biotechnology,Healthcare,yes,1995-10-13,NASDAQ
ACIA,"Acacia Communications, Inc.",USA,"Communication Equipment",Technology,yes,2016-05-13,NASDAQ
ACIM,"SPDR MSCI ACWI IMI ETF",USA,"Exchange Traded Fund",Financial,yes,2012-03-05,
ACIU,"AC Immune SA",Switzerland,Biotechnology,Healthcare,yes,2016-09-23,NASDAQ
ACIW,"ACI Worldwide, Inc.",USA,"Technical & System Software",Technology,yes,1995-02-27,NASDAQ
ACLS,"Axcelis Technologies, Inc.",USA,"Semiconductor Equipment & Materials",Technology,yes,2000-07-11,NASDAQ
ACM,AECOM,USA,"Technical Services",Services,yes,2007-05-10,NYSE
ACMR,"ACM Research, Inc.",USA,"Semiconductor Equipment & Materials",Technology,yes,2017-10-26,NASDAQ
ACN,"Accenture plc",Ireland,"Information Technology Services",Technology,yes,2001-07-19,NYSE
ACNB,"ACNB Corporation",USA,"Regional - Southwest Banks",Financial,yes,1996-01-02,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",USA,Biotechnology,Healthcare,yes,2006-02-10,NASDAQ
ACP,"Avenue Income Credit Strategies Fund",USA,"Closed-End Fund - Debt",Financial,yes,2011-01-27,NYSE
